Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
RAD62578	37519	27904	0.74
RAD68831	1618	1423	0.88
RAD72298	62979	61381	0.97
RAD77453	37591	26697	0.71
RAD82529	27379	26772	0.98
RAD85228	54002	50668	0.94
RAD63065	23277	23130	0.99
RAD75435	37212	36823	0.99
RAD93789	16219	15597	0.96
Ots_102420-494	42729	26295	0.62
Ots_105407-117	11276	10176	0.90
Ots_110495-380	9949	5548	0.56
Ots_crRAD48459-74	78564	3086	0.04
Ots_RAD1282	19183	11844	0.62
Ots_RAD5189	42908	39696	0.93
Ots_RAD7695	22707	19772	0.87
RAD2746	86688	20504	0.24
RAD6467	165410	21595	0.13
RAD10481	56102	21765	0.39
RAD12524	204520	3190	0.02
RAD15287	40700	26656	0.65
RAD15566	62965	61105	0.97
RAD15825	196632	47993	0.24
RAD16625	45429	21131	0.47
RAD20587	13285	10918	0.82
RAD23721	358298	8630	0.02
RAD33132	80314	9691	0.12
RAD40477	367074	13907	0.04
RAD40588	79038	23199	0.29
RAD40904	15213	14206	0.93
RAD44130	71066	55316	0.78
RAD51019	31800	18655	0.59
RAD57008	103566	6871	0.07
RAD57320	49725	39895	0.80
RAD58773	58169	34877	0.60
RAD58801	36126	29608	0.82
RAD60132	39973	32226	0.81
RAD61526	45666	33329	0.73
RAD62762	404119	10876	0.03
RAD64291	28855	24716	0.86
RAD65981	120145	27238	0.23
RAD66306	24716	12198	0.49
RAD66391	27064	19246	0.71
RAD69778	143385	6812	0.05
RAD80030	144387	36956	0.26
RAD82344	16586	16023	0.97
RAD84318	38663	31881	0.82
RAD85151	224701	11640	0.05
RAD87346	52421	39647	0.76
RAD87830	69413	14179	0.20
RAD90624	77695	24196	0.31
RAD110572	144849	140273	0.97
