Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
KIOW13_0008	202664	62085	61896	78683	0.31	0.31	0.39
KIOW13_0009	213625	63056	61251	89318	0.30	0.29	0.42
KIOW13_0010	235275	72220	73435	89620	0.31	0.31	0.38
KIOW13_0011	255585	73196	69997	112392	0.29	0.27	0.44
KIOW13_0012	233134	72618	71016	89500	0.31	0.30	0.38
KIOW13_0013	248757	74099	73882	100776	0.30	0.30	0.41
KIOW13_0014	231280	67410	70098	93772	0.29	0.30	0.41
KAROL05_0009_KAROL05_0010	576046	188488	165851	221707	0.33	0.29	0.38
KAROL05_0025_KAROL05_0026	527459	178350	157029	192080	0.34	0.30	0.36
KAROL05_0028_KAROL05_0029	616464	196557	173081	246826	0.32	0.28	0.40
